index,number_of_friends,number_of_tweets,content_of_tweets,url_ratio,friends_to_follower_ratio,age,following_rate
337161930,0,1,0,0,1,1,1
338284756,0,1,1,1,1,1,1
339058002,0,1,1,1,1,1,1
340346783,0,1,1,1,1,1,0
340364061,0,1,1,1,1,1,1
340396112,1,1,1,0,1,1,0
340951450,0,1,1,1,1,1,1
341339579,0,1,0,1,1,1,1
343307517,0,1,1,1,1,1,1
343473585,0,1,1,1,1,1,1
344525772,0,1,1,1,1,1,1
346829273,0,1,1,1,1,1,0
347274232,0,1,0,0,1,1,0
348430064,0,1,1,1,1,1,1
348981732,0,1,1,0,1,1,1
349204176,1,1,1,1,1,1,0
349626625,0,1,0,1,1,1,0
349929809,0,1,1,1,1,1,1
350160058,0,1,1,1,1,1,1
350244854,0,1,1,1,1,1,1
350791585,0,1,1,1,1,1,1
351555225,1,1,0,1,1,1,0
353011489,0,1,1,1,1,1,1
353768504,0,1,1,1,1,1,0
354796858,0,1,1,1,1,1,1
354818247,0,1,0,0,1,1,1
355600495,0,1,1,1,1,1,1
357129429,0,1,0,1,1,1,1
358733502,0,1,1,1,1,1,1
359926634,0,1,1,1,1,1,1
360547500,1,1,0,1,1,1,0
361097511,0,1,0,1,1,1,0
361746019,0,1,1,1,1,1,1
361784332,0,1,1,1,1,1,0
362993719,0,1,0,1,1,1,1
363251033,0,1,0,1,1,1,0
363830865,0,1,1,1,1,1,1
364111442,0,1,1,1,1,1,0
364277230,0,1,1,1,1,1,1
364323869,0,1,1,1,1,1,1
364776732,0,1,1,1,1,1,1
364805437,0,1,1,1,1,1,1
364851614,0,1,1,1,1,1,0
365372541,0,1,0,1,1,1,0
365383515,0,1,0,1,1,1,1
365440652,0,1,1,1,1,1,1
365622635,0,1,1,1,1,1,1
365665311,0,1,1,1,1,1,1
366116632,0,1,1,1,1,1,1
367240411,0,1,1,1,1,1,1
368540321,0,1,1,1,1,1,1
368579486,0,1,1,1,1,1,1
369537903,0,1,1,1,1,1,1
370193929,0,1,1,1,1,1,0
370625229,0,1,1,1,1,1,0
370850929,0,1,1,1,1,1,1
373579998,0,1,1,1,1,1,1
373947833,0,1,1,1,1,1,1
374062715,0,1,1,1,1,1,1
374488191,0,1,1,1,1,1,0
375209946,0,1,1,1,1,1,1
376425777,0,1,1,1,1,1,1
376677633,0,1,0,1,1,1,1
376705770,0,1,0,1,1,1,1
377304816,0,1,1,1,1,1,1
377389027,0,1,1,1,1,1,0
377914761,0,1,1,1,1,1,0
378009515,0,1,1,0,1,1,1
379114417,0,1,1,1,1,1,1
379260334,0,1,1,1,1,1,1
380015773,0,1,1,1,1,1,0
380172348,0,1,1,1,1,1,1
380319760,1,1,1,1,1,1,0
381030516,1,1,0,1,1,1,0
381666513,0,1,0,1,1,1,0
381950248,0,1,0,1,1,1,1
381960133,0,1,1,1,1,1,1
382178634,0,1,1,1,1,1,1
382271109,0,1,1,1,1,1,1
383292062,0,1,1,1,1,1,1
383387954,0,1,1,1,1,1,1
383825758,0,1,1,0,1,1,1
384753006,0,1,1,1,1,1,0
384932218,0,1,0,1,1,1,0
385868840,1,1,0,0,1,1,0
386034126,0,1,1,1,1,1,1
386779723,0,1,1,0,1,1,0
387718926,0,1,0,0,1,1,1
387971079,0,1,0,1,1,1,1
388348486,0,1,0,0,1,1,0
388842116,0,1,1,1,1,1,0
389400082,0,1,0,1,1,1,1
389652102,0,1,0,0,1,1,1
389715862,0,1,1,1,1,1,1
390428793,0,1,0,1,1,1,1
390730174,0,0,1,1,1,1,1
390759955,0,1,1,1,1,1,1
390972554,0,1,1,1,1,1,1
391362651,0,1,1,1,1,1,1
391526633,0,1,0,1,1,1,1
391572279,0,1,1,1,1,1,1
391614396,0,0,1,0,1,1,1
391924068,0,1,1,1,1,1,1
392210280,0,1,1,1,1,1,1
392247237,0,1,1,1,1,1,1
392676979,0,1,1,1,1,1,1
393628023,0,1,0,1,1,1,1
393980520,0,1,1,1,1,1,1
394004577,0,1,1,1,1,1,1
394007331,0,1,1,1,1,1,1
394217175,0,1,1,1,1,1,1
394233142,0,1,1,1,1,1,1
394628127,0,1,1,1,1,1,1
394726610,0,1,1,1,1,1,1
394814291,0,1,1,1,1,1,0
395014721,0,1,1,1,1,1,1
396173375,0,1,0,0,1,1,1
396462550,0,1,1,1,1,1,1
396515695,0,1,0,1,1,1,1
396618509,0,1,1,1,1,1,1
396625283,0,1,1,1,1,1,1
396796142,0,1,1,1,1,1,1
396898731,0,1,0,1,1,1,0
396900261,0,1,1,1,1,1,1
397236414,0,1,1,0,1,1,1
397320325,0,1,0,1,1,1,0
397324373,0,1,1,1,1,1,1
397534181,0,1,1,1,1,1,1
397629967,0,1,1,1,1,1,1
398090733,0,1,1,1,1,1,1
398442529,0,1,1,1,1,1,1
399484359,0,1,1,1,1,1,1
399572723,0,1,1,1,1,1,1
400300086,0,1,1,1,1,1,1
400546232,0,1,1,1,1,1,1
400748069,0,1,1,1,1,1,1
401423776,0,1,1,0,1,1,1
401502696,0,1,0,1,1,1,0
402866477,0,1,1,1,1,1,1
402955893,0,1,1,0,1,1,1
402979897,0,1,1,1,1,1,1
403461794,0,1,1,1,1,1,1
403766373,0,1,1,1,1,1,1
404069171,0,1,1,1,1,1,0
404987270,0,1,1,1,1,1,1
405035087,0,1,1,1,1,1,1
405140479,0,1,1,1,1,1,1
405418046,0,1,0,0,1,1,1
405574548,0,1,0,1,1,1,0
406165467,0,1,1,1,1,1,0
406162937,0,1,0,1,1,1,0
406907214,0,1,0,1,1,1,0
406962616,0,1,0,1,1,1,1
407024811,0,1,1,1,1,1,1
407101499,1,1,0,1,1,1,0
407689676,0,1,1,1,1,1,1
407844335,0,1,1,1,1,1,1
407964674,0,1,1,1,1,1,1
